Position 1:
  Digit 1: 1230
  Digit 3: 585
  Digit 2: 937
  Digit 4: 334
  Digit 5: 87
  Digit 6: 75
  Digit 9: 111
  Digit 8: 85
  Digit 7: 60
Position 2:
  Digit 2: 288
  Digit 8: 335
  Digit 3: 428
  Digit 6: 196
  Digit 7: 279
  Digit 4: 450
  Digit 9: 492
  Digit 0: 416
  Digit 5: 287
  Digit 1: 333
Position 3:
  Digit 3: 352
  Digit 9: 326
  Digit 6: 368
  Digit 5: 346
  Digit 0: 305
  Digit 7: 390
  Digit 1: 424
  Digit 2: 498
  Digit 8: 329
  Digit 4: 166
Position 4:
  Digit 8: 444
  Digit 9: 364
  Digit 5: 449
  Digit 1: 451
  Digit 0: 442
  Digit 2: 334
  Digit 6: 250
  Digit 7: 235
  Digit 3: 317
  Digit 4: 218
Position 5:
  Digit 8: 232
  Digit 2: 652
  Digit 0: 188
  Digit 7: 123
  Digit 1: 1053
  Digit 3: 451
  Digit 6: 210
  Digit 4: 338
  Digit 9: 101
  Digit 5: 156
Position 6:
  Digit 9: 300
  Digit 0: 277
  Digit 2: 554
  Digit 6: 198
  Digit 3: 514
  Digit 7: 227
  Digit 1: 556
  Digit 4: 409
  Digit 8: 256
  Digit 5: 213
Position 7:
  Digit 5: 330
  Digit 6: 366
  Digit 9: 374
  Digit 0: 329
  Digit 7: 373
  Digit 3: 382
  Digit 1: 384
  Digit 2: 428
  Digit 4: 232
  Digit 8: 303
Position 8:
  Digit 6: 313
  Digit 9: 340
  Digit 1: 446
  Digit 2: 354
  Digit 7: 233
  Digit 5: 444
  Digit 8: 421
  Digit 0: 374
  Digit 3: 357
  Digit 4: 218
Position 9:
  Digit 3: 569
  Digit 0: 263
  Digit 9: 193
  Digit 1: 532
  Digit 8: 274
  Digit 5: 395
  Digit 4: 414
  Digit 6: 175
  Digit 7: 156
  Digit 2: 514
Position 10:
  Digit 5: 412
  Digit 4: 459
  Digit 2: 544
  Digit 3: 674
  Digit 7: 282
  Digit 6: 183
  Digit 1: 402
  Digit 9: 192
  Digit 8: 140
  Digit 0: 109
Position 11:
  Digit 1: 283
  Digit 7: 409
  Digit 3: 456
  Digit 9: 420
  Digit 8: 289
  Digit 4: 173
  Digit 2: 341
  Digit 5: 381
  Digit 6: 281
  Digit 0: 271
Position 12:
  Digit 0: 387
  Digit 6: 230
  Digit 8: 243
  Digit 9: 541
  Digit 7: 194
  Digit 2: 351
  Digit 3: 228
  Digit 5: 380
  Digit 4: 328
  Digit 1: 320
Position 13:
  Digit 1: 214
  Digit 0: 256
  Digit 4: 259
  Digit 9: 248
  Digit 8: 124
  Digit 2: 78
  Digit 3: 89
  Digit 5: 204
  Digit 6: 88
  Digit 7: 70
Position 14:
