Even Sum,Odd Sum
0,0
24,27
26,36
26,37
14,38
26,23
8,34
8,37
22,21
26,38
28,28
24,46
28,19
20,23
30,19
24,44
16,21
18,41
18,24
18,20
16,37
6,36
18,23
30,28
20,35
32,21
28,14
18,26
16,29
26,42
4,36
16,13
30,20
24,38
24,43
2,41
26,31
22,38
16,18
26,25
20,31
6,44
26,40
8,55
14,19
8,39
6,40
36,19
34,22
22,22
4,28
28,26
18,27
22,21
24,45
2,28
14,38
12,39
26,31
16,30
22,7
20,29
32,18
22,18
20,26
24,22
32,26
14,25
20,16
10,39
24,17
30,40
20,19
14,43
36,18
18,23
22,25
18,23
22,46
26,18
16,23
14,36
24,25
28,11
8,26
12,29
20,32
24,19
22,33
22,18
10,57
34,26
24,28
22,8
2,30
28,20
20,34
4,28
38,14
14,37
28,19
30,19
16,40
20,49
14,44
22,36
16,31
18,25
30,30
24,15
22,22
36,11
36,35
24,41
36,36
20,26
18,35
16,21
26,35
32,20
18,24
24,17
26,21
18,27
22,35
16,41
26,26
26,25
8,44
18,34
30,41
24,31
12,36
6,24
16,25
36,13
16,45
28,15
24,33
32,16
10,23
14,25
4,29
10,57
12,25
30,25
14,41
28,32
8,36
20,28
18,27
22,33
10,47
32,17
26,37
34,25
32,25
18,33
26,23
10,34
22,41
12,41
8,56
14,39
16,12
20,22
20,28
20,28
26,33
10,27
10,23
32,23
14,18
14,28
10,37
6,19
32,28
20,36
40,23
16,33
16,18
12,31
22,33
28,30
28,15
26,33
22,18
18,33
12,38
28,40
18,19
8,43
42,23
14,31
22,35
32,21
18,34
40,16
40,30
30,33
10,35
24,26
42,28
34,32
4,18
16,21
20,41
24,21
6,31
24,28
8,45
12,27
18,30
34,35
28,19
32,19
8,31
20,37
34,29
18,26
28,19
18,18
26,21
18,10
14,40
32,15
26,18
16,26
10,25
14,65
32,11
14,51
20,25
16,40
28,19
30,23
12,28
18,39
8,33
12,16
8,36
24,24
18,31
14,24
36,12
20,26
24,31
20,16
4,16
26,18
36,25
30,18
22,21
10,54
12,52
14,31
8,25
12,28
12,36
12,35
30,22
26,17
40,18
16,29
18,29
14,47
4,53
6,33
10,54
22,32
24,24
30,28
18,31
32,29
10,28
20,29
22,37
36,24
32,19
22,31
6,43
14,31
10,4
44,7
24,42
18,43
42,12
22,35
18,20
18,36
30,41
20,36
26,30
20,36
20,20
16,38
26,31
40,25
28,25
16,21
28,20
22,18
10,28
4,29
22,21
38,24
8,32
24,29
4,30
32,17
14,9
18,21
20,37
18,27
28,32
24,36
22,31
32,30
12,33
18,22
12,38
24,16
26,41
24,17
36,16
8,29
18,46
26,37
14,19
18,25
22,20
14,38
10,62
20,28
34,14
52,9
20,33
12,29
14,30
10,25
12,48
12,33
30,19
8,29
18,30
14,48
12,52
14,53
44,10
30,15
26,19
22,30
24,32
10,22
8,27
26,34
24,24
18,36
18,15
8,36
34,19
18,43
18,31
12,28
20,31
16,36
28,12
16,41
12,37
30,21
26,15
24,14
28,21
14,47
22,34
22,27
22,28
26,33
20,36
26,29
12,26
22,21
28,17
16,58
24,24
8,26
18,34
30,14
26,22
22,29
26,29
24,39
26,33
12,31
14,29
16,36
16,53
20,31
26,30
6,45
28,17
4,17
16,31
40,20
26,26
28,22
22,27
24,46
42,15
30,21
18,20
18,26
22,21
12,36
24,24
22,47
8,49
10,36
36,19
12,37
18,34
32,17
18,15
28,37
8,55
26,18
16,49
24,18
22,24
30,28
12,33
20,31
16,29
12,16
24,42
20,43
36,10
20,38
14,21
14,20
12,34
38,16
22,23
26,17
26,19
12,20
10,29
30,20
24,39
22,5
28,26
14,28
32,26
28,32
36,11
20,36
22,5
18,25
20,47
10,37
18,33
14,30
36,25
32,16
4,52
4,40
18,31
30,26
38,30
12,38
20,37
10,37
32,22
26,16
12,33
14,28
20,17
20,37
24,29
30,23
42,31
12,27
36,23
20,45
32,27
32,27
26,28
24,34
16,38
20,28
20,35
4,35
28,27
30,23
8,21
10,23
16,28
16,27
26,15
24,24
30,25
30,33
10,23
32,27
22,42
22,30
12,29
14,51
18,24
20,18
30,34
38,16
18,20
40,23
16,49
10,26
16,31
24,16
30,34
20,37
16,25
26,20
20,36
16,25
20,30
16,25
32,23
14,22
26,29
22,34
16,18
8,30
18,30
34,19
8,44
22,16
16,22
12,9
14,16
8,39
18,23
36,18
18,37
24,61
34,24
16,37
24,24
12,31
16,27
2,34
18,58
36,24
