input_str,l🛐bel
🚔0🛐🙍🛗1238🙯🙼😣8956😣🙵3510🙯🙼,1
🚔🛗1899🙍🛐20690😣🙯🙼4761🙼😣🙯🙵,1
🚔😣🙯33658🛐2919🙍🙼🛗🙵🙯😣2780🙼,1
🚔🙼😣26390🛗🙍🙯🛐20914790🙼🙵😣🙯,1
🚔🛐16510🙍🙼😣🛗2718🙯🙵🙼4761😣🙯,1
🚔0😣🙼🛐🛗🙍43097002🙯🙼🙯😣🙵5237,1
🚔4790🙯🙍20371🛐😣🙼🛗🙯🙼😣3720🙵,1
🚔🛐🛗🙍18721🙼2154🙯😣🙼😣🙯🙵3324,1
🚔01899🙯😣🛗3626🙍🛐🙼🙼🙯😣4790🙵,1
🚔01495🛗🙯🙍🙼8055😣🛐3682🙯🙼😣🙵,1
🚔🛗🙼2919🙯🙍😣13956🛐😣🙼6469🙵🙯,1
🚔🙍🛐🙼🙯32600🛗2327😣🙯🙵🙼3388😣,1
🚔00🙍🙯🛗😣5066🙼🛐670🙼5332🙯🙵😣,1
🚔23684🙍🛗2425😣🙯🙼🛐🙼😣🙵🙯5332,1
🚔🛗22966🙯🙍🙼🛐1983😣🙯🙼😣🙵3559,1
🚔0🙍4427🙯😣🛗🛐🙼3312🙯3134🙼😣🙵,1
🚔0🙼😣🛐🛗67🙯22🙯3980🙯🙼🙵1795😣,1
🚔🙯🛐😣147383023🛗🙍🙼🙵😣🙼3134🙯,1
🚔0🛐1485🙍😣4205🙯🛗🙼🙯🙵🙼3510😣,1
🚔🙼😣🛐🙍🛗🙯196611157🙯🙵4309😣🙼,1
🚔0🛗🙯1507🙼🛐🙍2775😣🙯🙵4310😣🙼,1
🚔🙯😣🛐🙼🙍181031821🛗😣🙼3553🙵🙯,1
🚔🛐🙼2931🙯🙍🛗😣462833980🙵😣🙯🙼,1
🚔0🙯🙼1731🛗😣7118🛐🙍🙵🙼🙯6659😣,1
🚔🛗🙯🙼36068🛐🙍😣27183270😣🙯🙼🙵,1
🚔0😣🛗🙯🙼6482🛐🙍1415🙼😣3134🙯🙵,1
🚔1314🛐🙯🙍🛗😣🙼30968🙵🙼😣3510🙯,1
🚔20371🙍🙯🛐🙼2598😣🛗4310😣🙼🙵🙯,1
🚔0🙯🛐🛗9388😣2075🙼🙍🙯2996🙼🙵😣,1
🚔🙼🛗🙯😣307031505🛐🙍🙼🙯😣🙵4309,1
🚔0🛐1065😣🙯🙍🙼0🙼🛗2780🙵😣🙼🙯,1
🚔1821😣🛗🛐🙼28251🙍🙯4349🙯😣🙼🙵,1
🚔0😣🙍🛗3896🛐🙯🙼1238🙼3559🙯🙵😣,1
🚔02919🙼4856😣🛐🙯🙍🛗🙼🙯5774🙵😣,1
🚔03357🙯3901😣🙼🛐🛗🙍🙯🙼🙵3270😣,1
🚔🛗3901🙍😣🙼14669🛐🙯🙯😣🙼4761🙵,1
🚔🛐😣🛗🙯228172598🙍🙼🙵🙼🙯3553😣,1
🚔0🛐🙼3104😣🛗🙯🙼0🙍🙯😣🙵6659🙼,1
🚔0🛐1485😣9831🙼🛗🙍🙯😣🙯4521🙼🙵,1
🚔🛐3901😣10086🙍🛗🙯🙼3695🙵🙯🙼😣,1
🚔1731🙍🛐🙯😣19207🛗🙼1495🙯🙵😣🙼,1
🚔🙍271333658🙼🛗😣🙯🛐🙯🙵2998🙼😣,1
🚔0😣🛐🙯🙼🛗19597118🙍😣🙼3559🙯🙵,1
🚔01430🙍😣🙼🛐🛗🙯24253720🙵😣🙯🙼,1
🚔🛗31505🙼🙯🙍😣1507🛐🙼3980😣🙵🙯,1
🚔🙼3🙯😣🛗🙼30699🙍🛐🙯🙼3553😣🙵,1
🚔01828🛐🛗🙍😣🙯🙼36🙼62🙵😣🙯1495,1
🚔🛐33658🙼🛗🙯😣🙍12382780🙯🙼😣🙵,1
🚔🙯34141🛐🙍😣🛗1954🙼🙼🙯🙵😣1821,1
🚔0🛗🙼😣🛐🙍🙯13323070🙼🙵😣1129🙯,1
🚔🙼24671😣🛗🛐🙍1485🙯🙯4309🙵🙼😣,1
🚔0🙯🙼🛗🙍12438😣940🛐🙵😣🙯1157🙼,1
🚔0🛗🙯8055🙍😣2231🙼🛐🙵🙼😣2780🙯,1
🚔0🛐89672780🛗🙼🙯😣🙍🙵1795😣🙯🙼,1
🚔0🙼3070🛗😣🙯1502🙍🛐🙼🙵🙯😣1731,1
🚔0😣🙯2327🛐🙍🙼1235🛗🙼1899🙯🙵😣,1
🚔0😣🙼7118🛐🙯1959🛗🙍😣🙯4051🙵🙼,1
🚔0🙼🙍🙯🛐🛗5163😣27182598🙯🙵😣🙼,1
🚔0🛗🙍🛐🙼🙯940😣10256🙼🙵1495🙯😣,1
🚔0😣🙯3682🙼🙍🛐1410🛗🙯🙼🙵😣1120,1
🚔30968😣🛐🙼🙍🙯🙼4🛗🙵😣2791🙼🙯,1
🚔0🛐🙼🙯😣2682🙍6761🛗3270🙵🙼🙯😣,1
🚔06370🙯😣🛗🙼🙍1821🛐3324🙵🙯🙼😣,1
🚔🙯131413239🛐🙍🙼😣🛗🙯2548🙵🙼😣,1
🚔0🛗🙼🛐🙯29311245🙍😣🙵🙯😣3682🙼,1
🚔0🛐🙍🛗50664485🙯😣🙼😣🙯🙼4790🙵,1
🚔0🛐5163🙯🛗🙼🙍1065😣😣🙯🙵2091🙼,1
🚔26390🛗😣1821🙼🙯🙍🛐😣🙵🙯🙼1120,1
🚔0🙍🙼1954🛐😣🛗4905🙯🙵🙼🙯😣2091,1
🚔0🙯4309🙍😣1628🛗🙼🛐😣🙼🙯🙵4310,1
🚔0🛗🙼🛐😣🙍7794🙯2718🙼6469🙵😣🙯,1
🚔🛗🛐45436🙼🙍😣3312🙯🙵🙯🙼😣4310,1
🚔04905😣🛐🛗🙍2078🙯🙼😣🙯🙵3559🙼,1
🚔0🛗🙯🙍🙼😣8178🛐22313388🙼🙯😣🙵,1
🚔0🛗🙼😣14301238🛐🙍🙯🙯🙼🙵😣1954,1
🚔1485🛗🙼😣🛐🙯31505🙍4524🙯🙼🙵😣,1
🚔🛗431033763🙍🙼🙯🛐😣🙵4304🙯🙼😣,1
🚔2996🙯🛐🛗😣🙼🙍14738😣2791🙼🙵🙯,1
🚔🙍16510🙯🛐2548😣🙼🛗🙼🙯😣🙵3324,1
🚔😣🙼351211485🛐🛗🙍🙯🙼3132🙯😣🙵,1
🚔0🙯1923🙍2919🙼🛐😣🛗😣🙯🙵1238🙼,1
🚔🙍1507🙯🛐😣🙼🛗24288🙵😣1731🙼🙯,1
🚔16510😣🙼🛗2682🙍🛐🙯🙵🙼😣🙯3104,1
🚔🙍🙼3132🛐🛗🙯11047😣🙼🙯🙵3720😣,1
🚔🙍🛐🙼🛗16117🙯😣3901🙯😣4521🙵🙼,1
🚔🛐2857🙍13580😣🙯🛗🙼🙼🙵😣🙯5332,1
🚔😣🛐1129🛗🙍🙯28118🙼🙯😣🙵🙼4051,1
🚔🙍🛗😣🙼3312🙯19207🛐🙯🙼😣4869🙵,1
🚔0🙍🙯😣🙼0🛐🛗2816🙼🙼3695🙵😣🙯,1
🚔0🙯😣🛐1429🙼1495🙍🛗😣5999🙯🙼🙵,1
🚔0🛗14154856🙼🛐🙯😣🙍🙼6659🙵😣🙯,1
🚔0🙼2481🛐🛗😣🙯4473🙍🙼🙯🙵😣2791,1
🚔🛗🙼4🙯🙼😣🙍🛐12506🙯🙼😣🙵1821,1
🚔🛗2713🙯🙼11113🛐😣🙍🙼🙯1731😣🙵,1
🚔🛗11047🛐🙍🙯🙼😣1485😣🙯🙵5066🙼,1
🚔02919🛗🙼🙯🛐🙍😣4485🙵🙯2091😣🙼,1
🚔🙯🛐🙼😣🛗11113🙍32705332🙼😣🙯🙵,1
🚔0🙼😣🛗71841828🙯🙍🛐2425🙯😣🙼🙵,1
🚔05296🛐🙍🛗😣🙼1731🙯🙼😣3365🙵🙯,1
🚔🙍🛗33658😣🛐🙼1433🙯🙯🙼2414😣🙵,1
🚔0🙯🛗🙍🛐🙼29192800😣🙵🙼2682😣🙯,1
🚔0🛐🙍🙼😣🛗1507🙯4485🙵😣🙯3559🙼,1
🚔08967🛗😣🛐🙍🙼3365🙯🙼🙵😣1795🙯,1
🚔0🛗🛐🙍😣5449🙼5332🙯🙯🙵😣🙼5774,1
🚔21832😣1954🙍🙼🙯🛐🛗3695🙼🙯🙵😣,1
🚔😣🛗🙯173130968🛐🙼🙍🙼🙵3132🙯😣,1
🚔🙍🙼🛐🛗😣1314🙯24671🙵😣2075🙼🙯,1
🚔🙍🙯🛗🙼150723684🛐😣🙼🙵🙯😣2598,1
🚔0😣1332🛗🙍2548🙯🛐🙼😣4304🙵🙯🙼,1
🚔🙍1954🙼🛐🙯🛗😣10256😣🙵🙼🙯2414,1
🚔0🛗2920🙼🙍1628🙯🛐😣2816🙵🙯🙼😣,1
🚔🙼2999🙍😣14748🛐🙯🛗🙯😣🙼🙵2682,1
🚔🙼1959😣🛗🛐🙍🙯146692670🙯😣🙵🙼,1
🚔038961954🙼🙯🛐🛗🙍😣🙼4869😣🙵🙯,1
🚔0😣🙯🛗🛐1065🙍9102🙼🙼😣🙵61🛗69,1
🚔🛗😣24671🙼1129🙯🛐🙍🙵4790😣🙼🙯,1
🚔1314🙍12921🛐🛗😣🙯🙼🙵2425🙯🙼😣,1
🚔0🙍🙼🙯🛐😣1899🛗85265332😣🙼🙵🙯,1
🚔🛐🙼🙍🙯😣24462🛗2718😣🙵4309🙯🙼,1
🚔🛐12660🙍🙼2931🛗🙯😣🙵🙯😣🙼2091,1
🚔00486🙍🛗🛐🙯😣🙼1332😣🙼🙯2327🙵,1
🚔00940🙯6224🛗🙼🙍🛐😣4349🙯🙵😣🙼,1
🚔🙍🛐🛗🙼3070🙯😣14738🙵😣🙯3324🙼,1
🚔🛐🙍1983😣17645🙯🛗🙼🙼😣🙵🙯2920,1
🚔291919207😣🙯🛗🙍🙼🛐🙼5066😣🙵🙯,1
