input_str,label,modified_str
input_str,label,input_str
0271828003132,0,eeooeeeeeoooe
3695110474761,0,oeooooeeoeoeo
5999135804051,0,oooooooeeeeoo
0805552373365,0,eeeoooeooooeo
0599985621495,0,eooooeoeeoeoo
3069957052414,0,oeeooooeoeeoe
3606820912713,0,oeeeeeeooeooo
0510331044309,0,eooeoooeeeoeo
1191818282919,0,ooooeoeeeeooo
3510123522598,0,oooeoeooeeooe
1561131043901,0,ooeooooeeooeo
0142925982670,0,eoeeoeooeeeoe
5237246713070,0,oeooeeeoooeoe
0313491022075,0,eoooeooeeeeoo
0646951634310,0,eeeeoooeoeooe
2075139561415,0,eeooooooeoeoo
4304236842718,0,eoeeeoeeeeooe
0983153322831,0,eoeoooooeeeoo
0271815021433,0,eeooeooeeoeoo
0038962327940,0,eeoeoeeoeooee
0179536451238,0,eoooooeeooeoe
0336549053553,0,eooeoeoeooooo
2446243043553,0,eeeeeeoeeoooo
4485940940,0,eeeooeeoee
0142945212931,0,eoeeoeoeoeooo
2359443101828,0,eoooeeooeoeee
0452490251415,0,eeoeeoeeooeoo
4304235942713,0,eoeeeoooeeooo
1235253321795,0,oeooeoooeoooo
0676139802816,0,eeoeoooeeeeoe
2639022312682,0,eeooeeeooeeee
3150543493312,0,oooeoeoeooooe
0637059993365,0,eeooeooooooeo
4790135802999,0,eooeoooeeeooo
1323933243132,0,ooeooooeeoooe
1651057052931,0,oeooeooeoeooo
4521228173134,0,eoeoeeeoooooe
1104735593312,0,ooeeooooooooe
0479052544310,0,eeooeoeoeeooe
1466950663270,0,oeeeooeeeoeoe
5237187081485,0,oeoooeoeeoeeo
2425281183559,0,eeeoeeooeoooo
0544957054349,0,eoeeoooeoeoeo
1872153332598,0,oeoeoooooeooe
0676157052481,0,eeoeoooeoeeeo
0281619231485,0,eeeoeooeooeeo
5705263904790,0,ooeoeeooeeooe
2091196221433,0,eeooooeeeoeoo
0207527761065,0,eeeooeooeoeeo
0637057744349,0,eeooeoooeeoeo
0150233653023,0,eooeeooeooeeo
3414150664349,0,oeoeooeeeeoeo
5705132394524,0,ooeoooeooeoee
2368427802670,0,eoeeeeoeeeeoe
0277633244,0,eeooeooeee
2996125062857,0,eooeoeoeeeeoo
0067045243270,0,eeeoeeoeeoeoe
0938839803510,0,eooeeooeeoooe
0544957742931,0,eoeeooooeeooo
0335764694,0,eooooeeeoe
2996454361314,0,eooeeoeoeoooe
2467121541558,0,eeeooeooeoooe
2296643101495,0,eeoeeeooeoeoo
2931176453070,0,eoooooeeooeoe
0334921541495,0,eooeoeooeoeoo
5066326002075,0,oeeeoeeeeeeoo
0570598313720,0,eooeooeooooee
0516317951065,0,eooeooooooeeo
2428828571433,0,eeeeeeeoooeoo
4309124382548,0,eoeooeeoeeoee
1395631042780,0,ooooeooeeeoee
1912250661129,0,oooeeoeeeooeo
0711825982718,0,eoooeeooeeooe
0533291022713,0,eoooeooeeeooo
3270218321065,0,oeoeeoeoeoeeo
1810343044310,0,oeoeoeoeeeooe
0506622966940,0,eoeeeeeoeeoee
0485625982548,0,eeeoeeooeeoee
0622443042919,0,eeeeeeoeeeooo
0336527763559,0,eooeoeooeoooo
1920715072713,0,ooeeoooeoeooo
3963033244790,0,ooeoeooeeeooe
1764514951238,0,ooeeooeoooeoe
1008623271314,0,oeeeeeoeooooe
2996242882998,0,eooeeeeeeeooe
0212157745999,0,eeoeooooeoooo
0438148693365,0,eeoeoeeeoooeo
0665989672791,0,eeeooeoeoeooo
2580029193023,0,eoeeeeooooeeo
5999282512791,0,ooooeeeooeooo
0430420502998,0,eeoeeeeoeeooe
1795281182670,0,ooooeeooeeeoe
2857132391415,0,eeooooeoooeoo
0285716281731,0,eeeoooeeeoooo
1080427911415,0,oeeeeeooooeoo
0389627182091,0,eoeoeeooeeeoo
2154336582931,0,eooeooeoeeooo
0398064822998,0,eooeeeeeeeooe
0817829962682,0,eeooeeooeeeee
0212132702718,0,eeoeooeoeeooe
0616912453980,0,eeoeooeeoooee
3376331042481,0,oooeoooeeeeeo
0805545211954,0,eeeooeoeooooe
0420557052998,0,eeeeoooeoeooe
0430451631959,0,eeoeeooeooooo
2069029202091,0,eeeoeeoeeeeoo
0700218281507,0,eoeeeoeeeooeo
0232720501959,0,eeoeoeeoeoooo
2996218322481,0,eooeeoeoeeeeo
3695203711899,0,oeooeeooooeoo
3682462831828,0,oeeeeeeeooeee
0442757745333,0,eeeeooooeoooo
0094015022998,0,eeoeeooeeeooe
0143011572713,0,eoeoeooooeooo
0271844731507,0,eeooeeeooooeo
2281736951558,0,eeeoooeoooooe
3376350662481,0,oooeooeeeeeeo
0506627762999,0,eoeeeeooeeooo
3365229661954,0,ooeoeeoeeoooe
1104752371558,0,ooeeooeoooooe
0895652372231,0,eeooeoeooeeoo
0490521542091,0,eeoeoeooeeeoo
0711818992075,0,eoooeoeooeeoo
1191859991120,0,ooooeooooooee
0533227754761,0,eoooeeoooeoeo
1561143042078,0,ooeooeoeeeeoe
1810357744790,0,oeoeooooeeooe
1731218321731,0,ooooeoeoeoooo
2467118991495,0,eeeoooeoooeoo
2296653324790,0,eeoeeoooeeooe
1007033241120,0,oeeoeooeeooee
2296618281065,0,eeoeeoeeeoeeo
0368242241270,0,eoeeeeeeeoeoe
0896725983,0,eeoeoeooeo
0452148561899,0,eeoeoeeoeoeoo
0162833651821,0,eoeeeooeooeeo
4940025482548,0,eoeeeeoeeeoee
0011206701558,0,eeooeeeoeoooe
1651053322718,0,oeooeoooeeooe
1920731345333,0,ooeeooooeoooo
2639043094309,0,eeooeeoeoeoeo
1243831341507,0,oeeoeoooeooeo
0577419233312,0,eoooeooeooooe
1157187083312,0,oooooeoeeoooe
0405119661940,0,eeeooooeeooee
1025620783023,0,oeeoeeeoeoeeo
0390144273132,0,eooeoeeeooooe
2920203713510,0,eoeeeeooooooe
0896733243510,0,eeoeoooeeoooe
2091119182999,0,eeooooooeeooo
0616943811507,0,eeoeoeoeoooeo
2037114153023,0,eeooooeoooeeo
1179619591485,0,ooooeoooooeeo
1243839803980,0,oeeoeooeeooee
