input_str,label
🚔0🛐🛗2718😣🙯2800🙼🙍3132🙵😣🙼🙯,0
🚔🛗😣3695🛐🙍🙼🙯11047😣🙼4761🙯🙵,0
🚔🛐🙼😣5999🙯🙍🛗13580🙯🙼4051😣🙵,0
🚔0🙯😣🙼🙍🛗80555237🛐🙯3365😣🙵🙼,0
🚔05999🙍😣🛗85🙼62🛐🙯😣🙼1495🙵🙯,0
🚔🛗🛐30699😣🙍5705🙯🙼🙯😣🙼2414🙵,0
🚔🙯🙼🛗😣🛐🙍360682091🙼🙵🙯😣2713,0
🚔0🛗🙍🙼5103😣3104🛐🙯4309🙯🙵😣🙼,0
🚔🙯🙼11918😣🛐1828🙍🛗🙯🙼2919🙵😣,0
🚔🛐😣🙼🙍3510🛗12352🙯🙯2598🙵😣🙼,0
🚔🛐🙍😣🙯15611🛗🙼31043901🙯😣🙼🙵,0
🚔0🙯😣1429🛐🙍🛗🙼2598🙵🙯🙼😣2670,0
🚔🛗🙼🛐🙍🙯523724671😣🙼🙵🙯😣3070,0
🚔0🙍3134😣9102🛐🙼🛗🙯2075🙵🙯🙼😣,0
🚔0🙼6469🙯5163🛗😣🙍🛐🙼4310🙵😣🙯,0
🚔🙼🙍🛐🛗🙯207513956😣1415😣🙯🙼🙵,0
🚔🛐4304😣23684🛗🙯🙼🙍🙵2718🙯🙼😣,0
🚔0😣9831🙍🛗🛐5332🙯🙼🙯🙼28🙍31😣,0
🚔0🛐🙯🛗🙍🙼😣27181502🙵😣1433🙯🙼,0
🚔00😣🛗38962327🙼🙯🙍🛐🙯940🙵🙼😣,0
🚔01795🙍🛗🙯😣🛐🙼3645🙵🙯😣1238🙼,0
🚔0🙼3365😣🛗🙯🛐🙍4905🙵3553🙼🙯😣,0
🚔🛐🙍🛗24462😣🙯4304🙼🙯😣3553🙵🙼,0
🚔🚔🙯4485🛐😣🙼940🛗🙍😣🙼🙯940🙵,0
🚔01429🛐🙯🙍🛗4521😣🙼🙯🙵😣2931🙼,0
🚔🙼23594😣🙍🛐🛗4310🙯🙼😣1828🙵🙯,0
🚔0😣🙍4524🙼9025🙯🛐🛗😣🙵1415🙯🙼,0
🚔🙯4304🛐23594🙼😣🙍🛗😣🙵🙯2713🙼,0
🚔🙍12352😣🛗🛐🙼5332🙯1795🙵😣🙼🙯,0
🚔0🛐6761🛗😣🙍3980🙯🙼🙼2816🙵😣🙯,0
🚔🙼26390😣🙍2231🙯🛗🛐😣🙯🙼2682🙵,0
🚔🙼31505🙯🛐🛗😣4349🙍3312🙵🙯😣🙼,0
🚔0🛗6370😣5999🙍🛐🙼🙯3365😣🙵🙼🙯,0
🚔🛗🙼4790🙯🛐13580🙍😣😣🙵🙼2999🙯,0
🚔🙼🛐🙯13239🛗3324😣🙍😣3132🙵🙼🙯,0
🚔🛐16510🙼🙯🛗🙍😣5705🙵😣🙼2931🙯,0
🚔4521🛐🛗🙯22817🙼😣🙍🙯🙵3134🙼😣,0
🚔😣🙼11047🛐3559🙯🛗🙍3312🙼🙵🙯😣,0
🚔0🛗🛐4790🙼5254😣🙯🙍🙼😣4310🙯🙵,0
🚔🛐14669🙼🙯🙍5066😣🛗3270🙼🙵🙯😣,0
🚔🙯5237😣18708🙼🛗🛐🙍🙵🙼😣🙯1485,0
🚔🛐🙯🙼2425😣28118🛗🙍😣🙼🙯🙵3559,0
🚔0🙍😣🙯54495705🙼🛐🛗🙼🙵😣🙯4349,0
🚔🙍18721😣🛗🙼🛐5333🙯🙼😣2598🙯🙵,0
🚔0🛐6761🙼🛗😣🙯5705🙍🙼🙯😣🙵2481,0
🚔0🛗🙍🙯🙼😣🛐28161923🙼🙵1485🙯😣,0
🚔🙯🙍5705🛗26390🛐😣🙼🙼4790🙯🙵😣,0
🚔2091🙯🛐🛗😣196🙯22🙼🙵😣🙼1433🙯,0
🚔0🛐2075🙍🛗🙯🙼2776😣🙼🙵🙯😣1065,0
🚔06370🙯🛐😣5774🛗🙼🙍4349🙯😣🙼🙵,0
🚔0🙍😣1502🙼🙯🛗🛐3365🙼🙵3023🙯😣,0
🚔🙼34141😣🛐5066🙯🙍🛗4349🙼🙯🙵😣,0
🚔🙍5705🛗🙼13239🙯🛐😣🙵😣🙼🙯4524,0
🚔😣🛐🙯23684🙼🛗2780🙍2670🙯🙼🙵😣,0
🚔0🙍2776😣3324🙼🛗🙯🛐😣🙼🙯🙼4🙵,0
🚔299612506😣🙯🙼🛗🙍🛐😣🙼🙵🙯2857,0
